Date,Day,Time,Hour,Booking_ID,Booking_Status,Cancel_Reason,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Booking_Value,Ride_Distance,Driver_Rating,Customer_Rating,
12-05-24,Sunday,11:35:00 AM,11,CNR7153255142,Completed,,CID713523,Prime Sedan,Tumkur Road,RT Nagar,444,0,4.4,4.6,
28-05-24,Tuesday,6:07:00 PM,18,CNR2940424040,Cancelled,Driver Unavailable,CID225428,Bike,Magadi Road,Varthur,158,13,,,
20-05-24,Monday,5:27:00 AM,5,CNR2982357879,Completed,,CID270156,Prime SUV,Sahakar Nagar,Varthur,386,40,4.7,4,
31-05-24,Friday,10:02:00 AM,10,CNR2395710036,Cancelled,Driver Cancelled,CID581320,eBike,HSR Layout,Vijayanagar,384,0,,,
28-05-24,Tuesday,9:47:00 AM,9,CNR1797421769,Cancelled,Driver Cancelled,CID939555,Mini,Rajajinagar,Chamarajpet,822,45,,,
21-05-24,Tuesday,9:06:00 AM,9,CNR8787177882,Completed,,CID802429,Mini,Kadugodi,Vijayanagar,173,41,4.7,4.2,
06-05-24,Monday,7:34:00 AM,7,CNR3612067560,Completed,,CID476071,Bike,Tumkur Road,Whitefield,140,49,4.9,4.6,
08-05-24,Wednesday,3:46:00 PM,15,CNR5374902489,Cancelled,Customer Cancelled,CID735691,Prime Plus,Bannerghatta Road,Sarjapur Road,344,0,,,
23-05-24,Thursday,6:05:00 AM,6,CNR5030602354,Completed,,CID999840,Mini,Chamarajpet,Peenya,839,0,3.7,4.7,
04-05-24,Saturday,3:03:00 AM,3,CNR6328453219,Completed,,CID907133,Auto,RT Nagar,Varthur,893,0,3.6,4.2,
05-05-24,Sunday,7:08:00 AM,7,CNR4787583516,Incomplete,,CID923404,Prime Plus,Hosur Road,Jayanagar,164,46,,,
15-05-24,Wednesday,5:19:00 AM,5,CNR7943634301,Cancelled,Driver Cancelled,CID647026,Prime Plus,Kammanahalli,Rajajinagar,399,18,,,
15-05-24,Wednesday,2:49:00 PM,14,CNR4524472111,Completed,,CID540929,Auto,Cox Town,Yelahanka,330,8,3.9,4.4,
27-05-24,Monday,9:37:00 AM,9,CNR3914552212,Completed,,CID557845,Auto,Hosur Road,Banashankari,427,0,3.9,3.8,
28-05-24,Tuesday,8:34:00 AM,8,CNR8181602032,Cancelled,Driver Cancelled,CID167642,Bike,Indiranagar,MG Road,378,18,,,
11-05-24,Saturday,11:42:00 AM,11,CNR8090918544,Cancelled,Driver Unavailable,CID640151,Bike,Magadi Road,HSR Layout,343,23,,,
31-05-24,Friday,4:40:00 AM,4,CNR3211335290,Completed,,CID630354,Mini,Ramamurthy Nagar,BTM Layout,366,0,4.4,4.6,
